id;start_time;completion_time;email;name;leeftijdscategorie;onderwijsinstituut;studie_major;rugzak;rugzak_tevreden;laptopvak;brillenhoes;airtag_vak;waterfleshouder;geheim_vakje;waterdichtheid;comfortabele_rugpadding;oplader_vakje;sleutelhangerclip;organisatorische_vakken;zacht_vak;anti_diefstal_ritsen;design;duurzaamheid;andere_opties;andere_verbeteringen;letten_op_duurzaamheid
2;12-10-25 12:03:28;12-10-25 12:21:15;anonymous;;24 t/m 30;Zuyd Hogeschool;ICT;Ja;8;Nodig;Fijne toevoeging;Fijne toevoeging;Nodig;Liefst wel;Nodig;Liefst wel;Fijne toevoeging;Niet nodig;Niet nodig;Fijne toevoeging;Liefst wel;Liefst wel;Nodig;Binnenzak heeft rits.;;Een beetje
3;12-10-25 12:20:34;12-10-25 12:21:59;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;8;Nodig;Niet nodig;Niet nodig;Nodig;Fijne toevoeging;Nodig;Liefst wel;Fijne toevoeging;Niet nodig;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Fijne toevoeging;;;Niet
4;12-10-25 12:20:41;12-10-25 12:22:29;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;8;Nodig;Niet nodig;Niet nodig;Fijne toevoeging;Fijne toevoeging;Nodig;Liefst wel;Fijne toevoeging;Niet nodig;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Geen mening;;;Niet
5;12-10-25 12:25:45;12-10-25 12:27:35;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;10;Nodig;Niet nodig;Niet nodig;Fijne toevoeging;Liefst wel;Nodig;Nodig;Fijne toevoeging;Liefst wel;Liefst wel;Fijne toevoeging;Liefst wel;Fijne toevoeging;Fijne toevoeging;;Kwaliteit voorop zetten, veel rugzakken zijn na een jaartje alweer stuk en dus niet meer goed bruikbaar;Een beetje
6;12-10-25 12:30:47;12-10-25 12:33:15;anonymous;;18 t/m 23;Zuyd Hogeschool;;Ja;8;Niet nodig;Liefst wel;Liefst wel;Niet nodig;Niet nodig;Liefst wel;Liefst wel;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Liefst wel;Liefst wel;Niet nodig;;;Niet
7;12-10-25 12:40:45;12-10-25 12:42:10;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Nee;;Nodig;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Liefst wel;Nodig;Nodig;Nodig;Fijne toevoeging;Geen mening;Liefst wel;Nodig;Liefst wel;Niet nodig;;;Niet
8;12-10-25 13:19:14;12-10-25 13:21:02;anonymous;;18 t/m 23;Zuyd Hogeschool;;Ja;8;Liefst wel;Geen mening;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Liefst wel;Fijne toevoeging;Fijne toevoeging;Niet nodig;Niet nodig;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Niet nodig;;;Een beetje
9;12-10-25 13:26:22;12-10-25 13:31:05;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;9;Nodig;Fijne toevoeging;Niet nodig;Nodig;Liefst wel;Nodig;Nodig;Nodig;Fijne toevoeging;Nodig;Liefst wel;Nodig;Nodig;Liefst wel;Uitvouwbaar design voor grotere spullen en een plek voor een motorhelm;;Best wel
10;12-10-25 13:45:26;12-10-25 13:47:51;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;7;Nodig;Fijne toevoeging;Liefst wel;Nodig;Fijne toevoeging;Nodig;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Fijne toevoeging;Fijne toevoeging;Extra vakje voor pennen en dergelijke.;Verder niet.;Best wel
11;12-10-25 13:45:07;12-10-25 13:48:06;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;9;Niet nodig;Niet nodig;Niet nodig;Liefst wel;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Fijne toevoeging;Niet nodig;Fijne toevoeging;Fijne toevoeging;Niet nodig;Liefst wel;Liefst wel;Klein rits vakje aan de buitenkant van de tas voor kleinigheidjes die je anders kwijt raakt in de tas;;Best wel
12;12-10-25 16:49:19;12-10-25 16:50:32;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;8;Nodig;Fijne toevoeging;Nodig;Nodig;Fijne toevoeging;Nodig;Nodig;Liefst wel;Niet nodig;Fijne toevoeging;Liefst wel;Nodig;Nodig;Nodig;;;Niet
13;12-10-25 18:41:07;12-10-25 18:42:52;anonymous;;18 t/m 23;Zuyd Hogeschool;;Ja;8;Nodig;Niet nodig;Niet nodig;Fijne toevoeging;Fijne toevoeging;Nodig;Liefst wel;Niet nodig;Niet nodig;Fijne toevoeging;Liefst wel;Niet nodig;Geen mening;Geen mening;;;Een beetje
14;12-10-25 19:41:27;12-10-25 19:57:24;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;10;Nodig;Niet nodig;Niet nodig;Niet nodig;Liefst wel;Nodig;Liefst wel;Niet nodig;Niet nodig;Fijne toevoeging;Niet nodig;Geen mening;Geen mening;Niet nodig;;;Niet
15;12-10-25 22:52:15;12-10-25 22:55:31;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;7;Liefst wel;Fijne toevoeging;Niet nodig;Liefst wel;Liefst wel;Fijne toevoeging;Liefst wel;Fijne toevoeging;Fijne toevoeging;Liefst wel;Fijne toevoeging;Fijne toevoeging;Liefst wel;Geen mening;;;Een beetje
16;12-11-25 18:43:00;12-11-25 18:44:13;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;7;Liefst wel;Fijne toevoeging;Liefst wel;Fijne toevoeging;Nodig;Nodig;Liefst wel;Niet nodig;Niet nodig;Fijne toevoeging;Liefst wel;Liefst wel;Liefst wel;Fijne toevoeging;;;Een beetje
17;12-11-25 21:43:43;12-11-25 21:46:30;anonymous;;< 18;;;Ja;1;Liefst wel;Niet nodig;Niet nodig;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Liefst wel;Niet nodig;Liefst wel;Liefst wel;Nodig;Nodig;Liefst wel;;;Best wel
18;12-11-25 21:44:03;12-12-25 0:01:23;anonymous;;18 t/m 23;Open Universiteit;Psychologie;Ja;7;Liefst wel;Fijne toevoeging;Niet nodig;Fijne toevoeging;Liefst wel;Liefst wel;Liefst wel;Fijne toevoeging;Fijne toevoeging;Liefst wel;Liefst wel;Fijne toevoeging;Liefst wel;Liefst wel;;;Best wel
19;12-12-25 12:04:13;12-12-25 12:05:36;anonymous;;18 t/m 23;Zuyd Hogeschool;ICT;Ja;10;Liefst wel;Niet nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Nodig;Liefst wel;;;Een beetje
